team,nickname,city,state,country,opr,epa_current,epa_recent,epa_mean,epa_max,wins,losses,ties,win_rate
9245,Laker Dreadnoughts,Pigeon,Michigan,USA,58.7032322002144,1657.0,0,0,0,57,47,0,0.5481
818,The Steel Armadillos,Warren,Michigan,USA,33.71389045967838,1606.0,0,0,0,364,342,0,0.5156
8728,Argonauts,Troy,Michigan,USA,45.24724435493906,1592.0,0,0,0,72,72,0,0.5
9558,The Steel Vipers,Warren,Michigan,USA,46.32568184293839,1590.0,0,0,0,41,34,0,0.5467
9237,The Dragonators,Swartz Creek,Michigan,USA,35.461137552619135,1519.0,0,0,0,50,50,0,0.5
9252,Wingspan,Pontiac,Michigan,USA,13.784011436127285,1508.0,0,0,0,29,47,0,0.3816
9747,ElectroPanthers II,Center Line,Michigan,USA,14.641071915662936,1488.0,0,0,0,20,28,0,0.4167
8115,Platinum Peacocks,Chesterfield,Michigan,USA,15.009259494760746,1447.0,0,0,0,47,65,0,0.4196
8364,Rising Stars Academy - Nebulas,Center Line,Michigan,USA,12.288475613827211,1420.0,0,0,0,33,63,0,0.3438
9751,PantherBots,Hamtramck,Michigan,USA,7.146707645998985,1398.0,0,0,0,15,31,1,0.3298
