team,nickname,city,state,country,opr,epa_current,epa_recent,epa_mean,epa_max,wins,losses,ties,win_rate
33,Killer Bees,Bloomfield Hills,Michigan,USA,79.35636504277105,1784.0,0,0,0,956,372,0,0.7199
469,Las Guerrillas,Pontiac,Michigan,USA,56.2655228962628,1622.0,0,0,0,794,309,0,0.7199
3534,House of Cards,Davison,Michigan,USA,65.25125898991863,1620.0,0,0,0,326,248,0,0.5679
4362,Gems,Brighton,Michigan,USA,51.257831405665925,1589.0,0,0,0,407,242,0,0.6271
5053,Lakers,Waterford,Michigan,USA,22.112954053359903,1583.0,0,0,0,212,180,0,0.5408
4961,Shock and Awe-sum,Almont,Michigan,USA,41.79346268631755,1539.0,0,0,0,137,148,0,0.4807
4998,TESLA,Flint,Michigan,USA,8.233548668001964,1493.0,0,0,0,128,151,0,0.4588
3302,TurboTrojans,Clawson,Michigan,USA,14.926583042997255,1475.0,0,0,0,152,232,0,0.3958
4384,Benzene Bots,Troy,Michigan,USA,25.081164378285177,1471.0,0,0,0,206,207,0,0.4988
5065,Knights #5065,Detroit,Michigan,USA,19.93312005247125,1420.0,0,0,0,92,142,0,0.3932
