team,nickname,city,state,country,opr,epa_current,epa_recent,epa_mean,epa_max,wins,losses,ties,win_rate
5436,Cyber Cats,Rochester Hills,Michigan,USA,37.38347300415393,1596.0,0,0,0,221,168,0,0.5681
573,Mech Warriors,Bloomfield Hills,Michigan,USA,37.385077795329536,1576.0,0,0,0,538,390,0,0.5797
5555,Spartans,Warren,Michigan,USA,23.817956961011646,1511.0,0,0,0,122,139,0,0.4674
5623,Robotic Rams,Augusta,Michigan,USA,20.36689709273533,1493.0,0,0,0,116,131,0,0.4696
7716,JLW Formula 01,Detroit,Michigan,USA,17.421657472859827,1490.0,0,0,0,55,80,0,0.4074
5282,Railroader Robotics,Durand,Michigan,USA,32.73547855909878,1488.0,0,0,0,118,149,0,0.4419
5527,Cyber Phoenix,Flint,Michigan,USA,30.461666405829792,1478.0,0,0,0,71,117,0,0.3777
5235,Gears of Fortune,Chesaning,Michigan,USA,20.834421407463008,1474.0,0,0,0,103,161,0,0.3902
5214,The Mighty CavBots,Rochester,Michigan,USA,13.413927400255895,1454.0,0,0,0,86,153,0,0.3598
5478,Pershing Doughbots,Detroit,Michigan,USA,11.143559026658055,1402.0,0,0,0,81,121,0,0.401
